TIME,VALUE,DURATION,LABEL
0.0,0,3.541043084,N1
3.541043084,2,20.514829932,B
24.055873016,2,17.83292517,B
41.888798186,0,15.824399093,N3
57.713197279,1,14.303492063,A
72.016689342,1,14.2338322,A
86.250521542,1,14.268662132,A
100.519183673,1,14.257052154,A
114.776235828,1,14.268662132,A
129.044897959,0,100.089614512,N4
229.134512472,1,14.268662132,A
243.403174603,1,14.268662132,A
257.671836735,1,14.268662132,A
271.940498866,0,16.938956916,N5
288.879455782,2,20.619319728,B
309.49877551,0,9.137052154,N6
