CLIP_NAME,DURATION,TIMESTAMP
8.L,0:14.436,0.196
12.L,0:21.579,14.632
8.L,0:14.436,36.211
8.L,0:14.436,50.647
8.L,0:14.436,65.083
4.L,0:07.218,79.52
8.L,0:14.436,86.738
8.L,0:14.436,101.174
8.L,0:14.436,115.61
10.L,0:17.824,130.046
8.L,0:14.436,147.87
8.L,0:14.436,162.306
4.L,0:07.218,176.742
6.L,0:10.827,183.96
2.L,0:03.609,194.787
8.L,0:14.436,198.396
6.L,0:10.611,212.833
4.L,0:07.218,223.444
8.L,0:14.436,230.662
8.L,0:14.436,245.098
8.L,0:14.436,259.535
4.L,0:07.218,273.971
x.L,0:07.290,281.189
