CLIP_NAME,DURATION,TIMESTAMP
I/C.L,0:15.483,0.48
C.L,0:15.483,15.964
->.L,0:07.741,31.447
C.L,0:15.483,39.189
C.L,0:15.483,54.673
C.L,0:15.483,70.157
_.L,0:15.483,85.641
_ ->.L,0:15.483,101.125
_.L,0:07.741,116.609
C.L,0:15.483,124.351
C.L,0:15.483,139.835
_ ->.L,0:15.483,155.318
_->.L,0:07.741,170.802
Coda.L,0:15.483,178.544
Coda.L,0:15.483,194.028
Coda.L,0:15.483,209.512
x.L,0:06.363,224.996
A.L,0:12.307,4804.234
A.L,0:12.307,4816.542
A.L,0:12.307,4828.849
A.L,0:12.307,4841.157
A.L,0:12.307,4853.465
A.L,0:12.307,4865.772
A.L,0:12.307,4878.08
A.L,0:12.307,4890.388
B.L,0:12.307,4902.695
B.L,0:12.307,4915.003
B.L,0:12.307,4927.311
B.L,0:12.307,4939.619
C.L,0:08.205,4951.926
C.L,0:08.205,4960.131
C.L,0:08.205,4968.337
C.L,0:08.205,4976.542
C.L,0:12.307,4984.747
D.L,0:12.307,194.135
D.L,0:12.307,206.443
D.L,0:12.307,218.751
D.L,0:12.307,231.058
D.L,0:12.307,243.366
D.L,0:12.307,255.674
D.L,0:12.307,267.982
D.L,0:12.307,280.289
_.L,0:06.153,292.597
A.L,0:08.443,299.252
x.L,0:26.383,307.696
I.L,0:15.238,7.84
I.L,0:15.238,23.079
J.L,0:15.238,38.317
J.L,0:15.238,53.555
K.L,0:15.238,68.793
K.L,0:15.238,84.031
D.L,0:15.238,99.269
D.L,0:15.238,114.507
D.L,0:15.238,129.745
D.L,0:15.238,144.983
D.L,0:15.238,160.221
D.L,0:15.238,175.459
D.L,0:15.238,190.698
K2.L,0:15.238,205.936
K2.L,0:15.238,221.174
K2.L,0:15.238,236.412
K2.L,0:15.238,251.65
K2.L,0:15.238,266.888
K2.L,0:15.238,282.126
x-444.L,0:03.823,297.364
I/A.L,0:18.823,5453.318
J/A.L,0:18.823,5472.142
J/A.L,0:18.823,5490.965
J/A.L,0:18.823,5509.789
C/A.L,0:18.823,5528.612
V/A.L,0:18.823,5547.436
V/A.L,0:18.823,5566.259
C/A.L,0:18.823,5585.083
A.L,0:18.823,5603.906
V/A.L,0:18.823,5622.73
