CLIP_NAME,DURATION,TIMESTAMP
8.R,14.436,0.196
12.R,21.579,14.632
8.R,14.436,36.211
8.R,14.436,50.647
8.R,14.436,65.083
4.R,7.218,79.52
8.R,14.436,86.738
8.R,14.436,101.174
8.R,14.436,115.61
10.R,17.824,130.046
8.R,14.436,147.87
8.R,14.436,162.306
4.R,7.218,176.742
6.R,10.827,183.96
2.R,3.609,194.787
8.R,14.436,198.396
6.R,10.611,212.833
4.R,7.218,223.444
8.R,14.436,230.662
8.R,14.436,245.098
8.R,14.436,259.535
4.R,7.218,273.971
x.R,7.29,281.189
